Theme,Palette Name,Color Index,R,G,B
cool,Glacial Lake,8,0.0000,0.0500,0.1000
cool,Glacial Lake,9,0.0800,0.1200,0.2000
cool,Glacial Lake,10,0.1800,0.2200,0.3200
cool,Glacial Lake,11,0.2800,0.3200,0.4200
cool,Mediterranean Blue,0,0.9500,0.9800,1.0000
cool,Mediterranean Blue,1,0.2000,0.6000,0.9500
cool,Mediterranean Blue,2,0.1000,0.4000,0.8000
cool,Mediterranean Blue,3,0.4000,0.8000,0.9000
cool,Mediterranean Blue,4,0.8000,0.6000,0.4000
cool,Mediterranean Blue,5,0.9000,0.8500,0.7000
cool,Mediterranean Blue,6,0.0500,0.2000,0.5000
cool,Mediterranean Blue,7,0.3000,0.7000,1.0000
cool,Mediterranean Blue,8,0.7000,0.9000,1.0000
cool,Mediterranean Blue,9,0.1500,0.5000,0.8800
cool,Mediterranean Blue,10,0.9800,0.9900,0.9900
cool,Mediterranean Blue,11,0.5000,0.7500,0.9200
cool,Midnight Garden,0,0.0200,0.0500,0.1000
cool,Midnight Garden,1,0.0500,0.1000,0.2000
cool,Midnight Garden,2,0.1000,0.1500,0.3500
cool,Midnight Garden,3,0.1500,0.2500,0.5000
cool,Midnight Garden,4,0.2000,0.3000,0.6000
cool,Midnight Garden,5,0.3000,0.1000,0.4000
cool,Midnight Garden,6,0.4000,0.2000,0.5500
cool,Midnight Garden,7,0.0800,0.0800,0.1500
cool,Midnight Garden,8,0.2500,0.3500,0.7000
cool,Midnight Garden,9,0.5000,0.4000,0.8000
cool,Midnight Garden,10,0.1000,0.0200,0.0800
cool,Midnight Garden,11,0.3000,0.4000,0.6500
cool,Mystic Moonlight,0,0.0500,0.0500,0.2000
cool,Mystic Moonlight,1,0.8000,0.8500,0.9000
cool,Mystic Moonlight,2,0.3000,0.4000,0.7000
cool,Mystic Moonlight,3,0.2000,0.1000,0.3500
cool,Mystic Moonlight,4,0.4000,0.4000,0.4500
cool,Mystic Moonlight,5,0.5000,0.7000,0.8000
cool,Mystic Moonlight,6,0.0500,0.1500,0.1000
cool,Mystic Moonlight,7,0.6500,0.6000,0.7500
cool,Mystic Moonlight,8,0.5500,0.5500,0.5800
cool,Mystic Moonlight,9,0.0200,0.0200,0.0300
cool,Mystic Moonlight,10,0.0500,0.0500,0.2000
cool,Mystic Moonlight,11,0.8000,0.8500,0.9000
cool,Northern Lights,0,0.0000,0.1000,0.0500
cool,Northern Lights,1,0.1000,0.3000,0.2000
cool,Northern Lights,2,0.2000,0.6000,0.4000
cool,Northern Lights,3,0.3000,0.8000,0.6000
cool,Northern Lights,4,0.4000,0.9000,0.7000
cool,Northern Lights,5,0.5000,1.0000,0.8000
cool,Northern Lights,6,0.6000,0.7000,0.9000
cool,Northern Lights,7,0.4000,0.5000,0.8000
cool,Northern Lights,8,0.2000,0.3000,0.6000
cool,Northern Lights,9,0.0500,0.1500,0.4000
cool,Northern Lights,10,0.7000,0.8000,0.9500
cool,Northern Lights,11,0.1500,0.0500,0.3000
cool,Ocean Depths,0,0.0000,0.0500,0.1500
cool,Ocean Depths,1,0.0000,0.1000,0.3000
cool,Ocean Depths,2,0.0000,0.2000,0.5000
cool,Ocean Depths,3,0.1000,0.3000,0.7000
cool,Ocean Depths,4,0.2000,0.5000,0.8000
cool,Ocean Depths,5,0.3000,0.6000,0.9000
cool,Ocean Depths,6,0.5000,0.7000,0.9500
cool,Ocean Depths,7,0.7000,0.8500,1.0000
cool,Ocean Depths,8,0.4000,0.6000,0.8000
cool,Ocean Depths,9,0.2000,0.4000,0.6000
cool,Ocean Depths,10,0.1000,0.2000,0.4000
cool,Ocean Depths,11,0.0000,0.1000,0.2000
cool,Twilight Nebula,0,0.0000,0.0000,0.0500
cool,Twilight Nebula,1,0.2000,0.1000,0.5000
cool,Twilight Nebula,2,0.4000,0.2000,0.7000
cool,Twilight Nebula,3,0.7000,0.1000,0.6000
cool,Twilight Nebula,4,0.3000,0.8000,0.9000
cool,Twilight Nebula,5,0.7000,0.6000,0.9000
cool,Twilight Nebula,6,0.6000,0.4000,0.5000
cool,Twilight Nebula,7,0.1000,0.3000,0.8000
cool,Twilight Nebula,8,0.8000,0.8000,0.9000
cool,Twilight Nebula,9,0.0500,0.0500,0.2000
cool,Twilight Nebula,10,0.0000,0.0000,0.0500
cool,Twilight Nebula,11,0.2000,0.1000,0.5000
cool,Winter Frost,0,0.9500,0.9800,1.0000
cool,Winter Frost,1,0.7000,0.8500,0.9500
cool,Winter Frost,2,0.6000,0.6000,0.8000
cool,Winter Frost,3,0.5000,0.5500,0.6500
cool,Winter Frost,4,0.3000,0.2000,0.1500
cool,Winter Frost,5,0.4000,0.6000,0.6500
cool,Winter Frost,6,0.1000,0.1500,0.2500
cool,Winter Frost,7,0.8000,0.8200,0.8500
cool,Winter Frost,8,0.5000,0.2000,0.3000
cool,Winter Frost,9,0.6000,0.9000,0.8500
cool,Winter Frost,10,0.9500,0.9800,1.0000
cool,Winter Frost,11,0.7000,0.8500,0.9500
cool,Winter Twilight,0,0.0500,0.0800,0.1500
cool,Winter Twilight,1,0.1000,0.1200,0.2000
cool,Winter Twilight,2,0.1500,0.1800,0.2500
cool,Winter Twilight,3,0.2000,0.2500,0.3000
cool,Winter Twilight,4,0.3000,0.4000,0.5000
cool,Winter Twilight,5,0.4000,0.5000,0.6000
cool,Winter Twilight,6,0.5000,0.6000,0.7000
cool,Winter Twilight,7,0.6000,0.7000,0.8000
cool,Winter Twilight,8,0.7000,0.8000,0.9000
cool,Winter Twilight,9,0.8000,0.9000,1.0000
cool,Winter Twilight,10,0.0200,0.0500,0.1000
cool,Winter Twilight,11,0.2500,0.3000,0.4000
coolpastel,Sakura Nightfall,0,0.9800,0.8000,0.8500
coolpastel,Sakura Nightfall,1,0.9000,0.7000,0.7800
coolpastel,Sakura Nightfall,2,0.1000,0.0500,0.3000
coolpastel,Sakura Nightfall,3,0.2000,0.1500,0.4500
coolpastel,Sakura Nightfall,4,0.7500,0.6500,0.9000
coolpastel,Sakura Nightfall,5,0.0500,0.0200,0.1500
coolpastel,Sakura Nightfall,6,1.0000,0.9000,0.9200
coolpastel,Sakura Nightfall,7,0.3000,0.2500,0.5500
coolpastel,Sakura Nightfall,8,0.8500,0.7500,0.8800
coolpastel,Sakura Nightfall,9,0.5000,0.4000,0.7000
coolpastel,Sakura Nightfall,10,0.9500,0.8500,0.8800
coolpastel,Sakura Nightfall,11,0.1500,0.1000,0.3800
darkmetallic,Volcanic Glass,0,0.0500,0.0500,0.0800
darkmetallic,Volcanic Glass,1,0.1000,0.1000,0.1200
darkmetallic,Volcanic Glass,2,0.2000,0.2000,0.2200
darkmetallic,Volcanic Glass,3,0.3000,0.0500,0.0200
darkmetallic,Volcanic Glass,4,0.4000,0.1000,0.0000
darkmetallic,Volcanic Glass,5,0.0200,0.0800,0.1000
darkmetallic,Volcanic Glass,6,0.0800,0.0200,0.1000
darkmetallic,Volcanic Glass,7,0.0100,0.0100,0.0100
darkmetallic,Volcanic Glass,8,0.1500,0.1800,0.2000
darkmetallic,Volcanic Glass,9,0.2500,0.0800,0.0500
darkmetallic,Volcanic Glass,10,0.0600,0.0800,0.1200
darkmetallic,Volcanic Glass,11,0.0800,0.0800,0.0800
dramatic,Electric Storm,0,0.1000,0.1000,0.2000
dramatic,Electric Storm,1,0.2000,0.2000,0.4000
dramatic,Electric Storm,2,0.3000,0.3000,0.6000
dramatic,Electric Storm,3,0.5000,0.5000,0.8000
dramatic,Electric Storm,4,0.7000,0.7000,0.9000
dramatic,Electric Storm,5,0.9000,0.9000,1.0000
dramatic,Electric Storm,6,1.0000,1.0000,1.0000
dramatic,Electric Storm,7,0.8000,0.9000,1.0000
dramatic,Electric Storm,8,0.6000,0.7000,0.9000
dramatic,Electric Storm,9,0.4000,0.5000,0.7000
dramatic,Electric Storm,10,0.2000,0.3000,0.5000
dramatic,Electric Storm,11,0.0500,0.0500,0.3000
dramatic,Gothic Romance,0,0.0500,0.0000,0.0200
dramatic,Gothic Romance,1,0.1000,0.0000,0.0500
dramatic,Gothic Romance,2,0.4000,0.0000,0.1000
dramatic,Gothic Romance,3,0.6000,0.0500,0.1500
dramatic,Gothic Romance,4,0.3000,0.0000,0.4000
dramatic,Gothic Romance,5,0.2000,0.0000,0.3000
dramatic,Gothic Romance,6,0.2000,0.2000,0.2200
dramatic,Gothic Romance,7,0.3000,0.3000,0.3300
dramatic,Gothic Romance,8,0.7000,0.6500,0.7000
dramatic,Gothic Romance,9,0.5000,0.4500,0.5000
dramatic,Gothic Romance,10,0.5000,0.1000,0.2000
dramatic,Gothic Romance,11,0.1500,0.0200,0.0800
dramatic,Haunted Forest,0,0.0200,0.0500,0.0300
dramatic,Haunted Forest,1,0.0800,0.1200,0.0900
dramatic,Haunted Forest,2,0.1500,0.2000,0.1600
dramatic,Haunted Forest,3,0.1000,0.0800,0.0500
dramatic,Haunted Forest,4,0.2000,0.1500,0.1000
dramatic,Haunted Forest,5,0.3000,0.3000,0.4000
dramatic,Haunted Forest,6,0.4000,0.4000,0.5000
dramatic,Haunted Forest,7,0.0000,0.0000,0.0000
dramatic,Haunted Forest,8,0.0500,0.0200,0.0800
dramatic,Haunted Forest,9,0.6000,0.5500,0.3000
dramatic,Haunted Forest,10,0.1000,0.2500,0.2000
dramatic,Haunted Forest,11,0.2500,0.1000,0.0500
dramatic,Noir Alley,0,0.0000,0.0000,0.0000
dramatic,Noir Alley,1,0.0500,0.0500,0.0600
dramatic,Noir Alley,2,0.1000,0.1000,0.1100
dramatic,Noir Alley,3,0.1500,0.1500,0.1600
dramatic,Noir Alley,4,0.2000,0.2000,0.2100
dramatic,Noir Alley,5,0.2500,0.2500,0.2600
dramatic,Noir Alley,6,0.3000,0.3000,0.3100
dramatic,Noir Alley,7,0.3500,0.3500,0.3600
dramatic,Noir Alley,8,0.4000,0.4000,0.4100
dramatic,Noir Alley,9,0.4500,0.4500,0.4600
dramatic,Noir Alley,10,0.5000,0.5000,0.5100
dramatic,Noir Alley,11,0.5500,0.5500,0.5600
dramatic,Royal Velvet,0,0.3000,0.0000,0.3000
dramatic,Royal Velvet,1,0.4000,0.0500,0.4000
dramatic,Royal Velvet,2,0.5000,0.1000,0.5000
dramatic,Royal Velvet,3,0.6000,0.1000,0.2000
dramatic,Royal Velvet,4,0.5000,0.0000,0.1000
dramatic,Royal Velvet,5,0.7000,0.5000,0.1000
dramatic,Royal Velvet,6,0.8000,0.6000,0.2000
dramatic,Royal Velvet,7,0.1000,0.0000,0.0500
dramatic,Royal Velvet,8,0.0500,0.0000,0.0200
dramatic,Royal Velvet,9,0.2000,0.1000,0.3500
dramatic,Royal Velvet,10,0.4500,0.2000,0.5500
dramatic,Royal Velvet,11,0.6500,0.3000,0.1500
dramatic,Volcanic Night,0,0.0500,0.0100,0.0000
dramatic,Volcanic Night,1,0.1000,0.0200,0.0100
dramatic,Volcanic Night,2,0.1500,0.0300,0.0200
dramatic,Volcanic Night,3,0.2000,0.0400,0.0300
dramatic,Volcanic Night,4,0.3000,0.0500,0.0400
dramatic,Volcanic Night,5,0.4000,0.0600,0.0500
dramatic,Volcanic Night,6,0.5000,0.0700,0.0600
dramatic,Volcanic Night,7,0.6000,0.0800,0.0700
dramatic,Volcanic Night,8,0.7000,0.0900,0.0800
dramatic,Volcanic Night,9,0.8000,0.1000,0.0900
dramatic,Volcanic Night,10,0.9000,0.1100,0.1000
dramatic,Volcanic Night,11,1.0000,0.1200,0.1100
dramaticrich,Haute Couture,0,0.0000,0.0000,0.0000
dramaticrich,Haute Couture,1,0.8000,0.6000,0.1000
dramaticrich,Haute Couture,2,0.7500,0.7500,0.8000
dramaticrich,Haute Couture,3,0.5000,0.0000,0.2000
dramaticrich,Haute Couture,4,0.0000,0.3000,0.2000
dramaticrich,Haute Couture,5,0.1000,0.1000,0.5000
dramaticrich,Haute Couture,6,0.3000,0.0000,0.4000
dramaticrich,Haute Couture,7,0.6000,0.1000,0.0500
dramaticrich,Haute Couture,8,0.2000,0.2000,0.2000
dramaticrich,Haute Couture,9,0.9000,0.8000,0.5000
dramaticrich,Haute Couture,10,0.4000,0.2000,0.5000
dramaticrich,Haute Couture,11,0.0500,0.4000,0.4500
earth,Autumn Leaves,0,0.6000,0.2000,0.1000
earth,Autumn Leaves,1,0.7000,0.3000,0.1000
earth,Autumn Leaves,2,0.8000,0.4000,0.1000
earth,Autumn Leaves,3,0.9000,0.5000,0.2000
earth,Autumn Leaves,4,1.0000,0.6000,0.2000
earth,Autumn Leaves,5,0.9000,0.7000,0.3000
earth,Autumn Leaves,6,0.8000,0.6000,0.2000
earth,Autumn Leaves,7,0.5000,0.4000,0.1000
earth,Autumn Leaves,8,0.4000,0.3000,0.1000
earth,Autumn Leaves,9,0.3000,0.2000,0.0500
earth,Autumn Leaves,10,0.2000,0.1000,0.0200
earth,Autumn Leaves,11,0.1000,0.0500,0.0000
earth,Clay Pottery,0,0.5000,0.3000,0.1000
earth,Clay Pottery,1,0.6000,0.3500,0.1500
earth,Clay Pottery,2,0.7000,0.4000,0.2000
earth,Clay Pottery,3,0.8000,0.5000,0.2500
earth,Clay Pottery,4,0.9000,0.6000,0.3000
earth,Clay Pottery,5,0.4000,0.2500,0.0800
earth,Clay Pottery,6,0.3000,0.2000,0.0500
earth,Clay Pottery,7,0.2000,0.1500,0.0200
earth,Clay Pottery,8,0.7500,0.4500,0.2200
earth,Clay Pottery,9,0.8500,0.5500,0.2800
earth,Clay Pottery,10,0.6500,0.4000,0.1800
earth,Clay Pottery,11,0.5500,0.3500,0.1200
earth,Deepwood Moss,0,0.1000,0.2000,0.0500
earth,Deepwood Moss,1,0.2000,0.3500,0.1000
earth,Deepwood Moss,2,0.3000,0.4500,0.1500
earth,Deepwood Moss,3,0.4000,0.5500,0.2500
earth,Deepwood Moss,4,0.2500,0.2000,0.1000
earth,Deepwood Moss,5,0.4000,0.3000,0.1500
earth,Deepwood Moss,6,0.5000,0.5000,0.4500
earth,Deepwood Moss,7,0.1500,0.2500,0.0800
earth,Deepwood Moss,8,0.3500,0.4000,0.2000
earth,Deepwood Moss,9,0.0500,0.1000,0.0200
earth,Deepwood Moss,10,0.6000,0.6500,0.5500
earth,Deepwood Moss,11,0.4500,0.3500,0.2000
earth,Desert Sand,0,0.9000,0.8000,0.6000
earth,Desert Sand,1,0.8500,0.7000,0.5000
earth,Desert Sand,2,0.8000,0.6000,0.4000
earth,Desert Sand,3,0.7000,0.5000,0.3000
earth,Desert Sand,4,0.6000,0.4000,0.2000
earth,Desert Sand,5,0.5000,0.3000,0.1500
earth,Desert Sand,6,0.4000,0.2500,0.1000
earth,Desert Sand,7,0.8000,0.5000,0.2000
earth,Desert Sand,8,0.9000,0.6000,0.3000
earth,Desert Sand,9,0.7000,0.4000,0.1000
earth,Desert Sand,10,0.5000,0.2500,0.0500
earth,Desert Sand,11,0.3000,0.1500,0.0200
earth,Enchanted Forest,0,0.1000,0.3000,0.1000
earth,Enchanted Forest,1,0.3000,0.5000,0.2000
earth,Enchanted Forest,2,0.5000,0.7000,0.3000
earth,Enchanted Forest,3,0.4000,0.2500,0.1000
earth,Enchanted Forest,4,0.3000,0.1500,0.0500
earth,Enchanted Forest,5,0.4000,0.3000,0.6000
earth,Enchanted Forest,6,0.9000,0.8000,0.4000
earth,Enchanted Forest,7,0.5000,0.5000,0.4500
earth,Enchanted Forest,8,0.6000,0.1000,0.2000
earth,Enchanted Forest,9,0.2000,0.4500,0.2500
earth,Enchanted Forest,10,0.1000,0.3000,0.1000
earth,Enchanted Forest,11,0.3000,0.5000,0.2000
earth,Forest Canopy,0,0.0500,0.1000,0.0000
earth,Forest Canopy,1,0.1000,0.2000,0.0500
earth,Forest Canopy,2,0.2000,0.4000,0.1000
earth,Forest Canopy,3,0.3000,0.6000,0.2000
earth,Forest Canopy,4,0.4000,0.7000,0.3000
earth,Forest Canopy,5,0.6000,0.8000,0.4000
earth,Forest Canopy,6,0.8000,0.9000,0.6000
earth,Forest Canopy,7,0.3000,0.2000,0.1000
earth,Forest Canopy,8,0.5000,0.4000,0.2000
earth,Forest Canopy,9,0.2000,0.3000,0.1500
earth,Forest Canopy,10,0.1500,0.2500,0.1000
earth,Forest Canopy,11,0.1000,0.1500,0.0500
earth,Forest Floor,0,0.2000,0.1500,0.1000
earth,Forest Floor,1,0.4000,0.2500,0.1000
earth,Forest Floor,2,0.3000,0.4000,0.2000
earth,Forest Floor,3,0.7000,0.4000,0.1000
earth,Forest Floor,4,0.8000,0.7000,0.5500
earth,Forest Floor,5,0.1500,0.2500,0.1000
earth,Forest Floor,6,0.5000,0.5000,0.4500
earth,Forest Floor,7,0.2500,0.2000,0.1500
earth,Forest Floor,8,0.9000,0.8500,0.6000
earth,Forest Floor,9,0.2000,0.3000,0.1500
earth,Forest Floor,10,0.5000,0.3500,0.2000
earth,Forest Floor,11,0.1000,0.0800,0.0500
earth,Harvest Fields,0,0.8000,0.6000,0.2000
earth,Harvest Fields,1,0.9000,0.7000,0.3000
earth,Harvest Fields,2,1.0000,0.8000,0.4000
earth,Harvest Fields,3,0.7000,0.5000,0.1000
earth,Harvest Fields,4,0.6000,0.4000,0.0500
earth,Harvest Fields,5,0.5000,0.3000,0.0000
earth,Harvest Fields,6,0.4000,0.6000,0.1000
earth,Harvest Fields,7,0.3000,0.5000,0.0500
earth,Harvest Fields,8,0.2000,0.4000,0.0000
earth,Harvest Fields,9,0.7500,0.6500,0.3000
earth,Harvest Fields,10,0.8500,0.7500,0.2000
earth,Harvest Fields,11,0.9500,0.8500,0.3000
earth,Jade Temple,0,0.1000,0.4000,0.2500
earth,Jade Temple,1,0.4000,0.7000,0.5000
earth,Jade Temple,2,0.7000,0.8500,0.7500
earth,Jade Temple,3,0.8000,0.6000,0.1000
earth,Jade Temple,4,0.6000,0.1000,0.0500
earth,Jade Temple,5,0.2500,0.1500,0.0500
earth,Jade Temple,6,0.5000,0.5000,0.4800
earth,Jade Temple,7,0.5000,0.5500,0.6500
earth,Jade Temple,8,0.9000,0.7000,0.7500
earth,Jade Temple,9,0.3000,0.6000,0.2000
earth,Jade Temple,10,0.1000,0.4000,0.2500
earth,Jade Temple,11,0.4000,0.7000,0.5000
earth,Kyoto Autumn,0,0.6000,0.1000,0.0500
earth,Kyoto Autumn,1,0.8000,0.2500,0.1000
earth,Kyoto Autumn,2,0.9500,0.4000,0.1000
earth,Kyoto Autumn,3,0.5000,0.4000,0.1000
earth,Kyoto Autumn,4,0.3000,0.3500,0.1500
earth,Kyoto Autumn,5,0.9000,0.6500,0.2000
earth,Kyoto Autumn,6,0.7000,0.5000,0.1500
earth,Kyoto Autumn,7,0.2000,0.1500,0.0500
earth,Kyoto Autumn,8,0.4000,0.0500,0.0200
earth,Kyoto Autumn,9,1.0000,0.8000,0.4000
earth,Kyoto Autumn,10,0.1500,0.2000,0.0800
earth,Kyoto Autumn,11,0.5500,0.1500,0.0800
earth,Mossy Ruins,0,0.4000,0.4500,0.4200
earth,Mossy Ruins,1,0.2000,0.3500,0.1500
earth,Mossy Ruins,2,0.5000,0.5500,0.3000
earth,Mossy Ruins,3,0.6000,0.2500,0.2000
earth,Mossy Ruins,4,0.1000,0.2500,0.1000
earth,Mossy Ruins,5,0.3000,0.2000,0.1000
earth,Mossy Ruins,6,0.3000,0.3500,0.4000
earth,Mossy Ruins,7,0.3500,0.5000,0.4500
earth,Mossy Ruins,8,0.8000,0.7500,0.5000
earth,Mossy Ruins,9,0.2500,0.4000,0.2000
earth,Mossy Ruins,10,0.4000,0.4500,0.4200
earth,Mossy Ruins,11,0.2000,0.3500,0.1500
earth,Rainforest Canopy,0,0.0500,0.1500,0.0500
earth,Rainforest Canopy,1,0.1000,0.2500,0.1000
earth,Rainforest Canopy,2,0.1500,0.3500,0.1500
earth,Rainforest Canopy,3,0.2000,0.4500,0.2000
earth,Rainforest Canopy,4,0.2500,0.5500,0.2500
earth,Rainforest Canopy,5,0.3000,0.6500,0.3000
earth,Rainforest Canopy,6,0.3500,0.7500,0.3500
earth,Rainforest Canopy,7,0.4000,0.8500,0.4000
earth,Rainforest Canopy,8,0.0000,0.1000,0.0000
earth,Rainforest Canopy,9,0.0800,0.0500,0.0200
earth,Rainforest Canopy,10,0.1500,0.1000,0.0500
earth,Rainforest Canopy,11,0.2500,0.2000,0.1000
earth,Redwood Canopy,0,0.4000,0.1500,0.1000
earth,Redwood Canopy,1,0.1000,0.2500,0.0500
earth,Redwood Canopy,2,0.3000,0.5000,0.2000
earth,Redwood Canopy,3,0.2500,0.1800,0.1000
earth,Redwood Canopy,4,0.7000,0.6000,0.1000
earth,Redwood Canopy,5,0.6000,0.7000,0.8000
earth,Redwood Canopy,6,0.4500,0.4000,0.3500
earth,Redwood Canopy,7,0.6000,0.3000,0.0500
earth,Redwood Canopy,8,0.8000,0.7000,0.5500
earth,Redwood Canopy,9,0.0500,0.1000,0.0200
earth,Redwood Canopy,10,0.3500,0.4000,0.1500
earth,Redwood Canopy,11,0.5000,0.2000,0.0800
earth,Safari Adventure,0,0.6000,0.5000,0.2000
earth,Safari Adventure,1,0.7000,0.6000,0.2500
earth,Safari Adventure,2,0.8000,0.7000,0.3000
earth,Safari Adventure,3,0.4000,0.3000,0.1000
earth,Safari Adventure,4,0.3000,0.2000,0.0500
earth,Safari Adventure,5,0.2000,0.1500,0.0000
earth,Safari Adventure,6,0.4000,0.4500,0.1500
earth,Safari Adventure,7,0.3000,0.3500,0.1000
earth,Safari Adventure,8,0.2000,0.2500,0.0500
earth,Safari Adventure,9,0.9000,0.8000,0.4000
earth,Safari Adventure,10,0.8500,0.7500,0.3500
